"CodiceAzienda","AZIENDA_COMUNE","SPECIE","FEMMINE_BOV_0_12MESI","FEMMINE_BOV_12_24MESI","FEMMINE_BOV_24_36MESI","FEMMINE_BOV_3_5ANNI","FEMMINE_BOV_5_8ANNI","FEMMINE_BOV_OLTRE_8ANNI","TOT_BOV_FEMMINE","TOT_CAPI","DATA_RIFERIMENTO","COMUNE","LATITUDINE","LONGITUDINE"
"003NA001","AGEROLA","BOVINI",0,1,2,1,1,1,6,6,"30/11/2020","Agerola",40.63799,14.560184
"003NA010","AGEROLA","BOVINI",6,6,11,12,10,3,48,53,"30/11/2020","Agerola",40.636476,14.550206
"003NA043","AGEROLA","BOVINI",0,0,0,0,2,0,2,5,"30/11/2020","Agerola",40.634529,14.537009
"003NA093","AGEROLA","BOVINI",7,4,4,6,3,7,31,40,"30/11/2020","Agerola",40.629098,14.572815
"003NA097","AGEROLA","BOVINI",0,1,0,0,1,0,2,3,"30/11/2020","Agerola",40.6283,14.5651
"003NA138","AGEROLA","BOVINI",0,3,0,8,5,2,18,18,"30/11/2020","Agerola",40.637079,14.540741
"003NA141","AGEROLA","BOVINI",1,0,0,2,0,0,3,3,"30/11/2020","Agerola",40.628915,14.570895
"003NA182","AGEROLA","BOVINI",5,2,2,5,2,4,20,23,"30/11/2020","Agerola",40.640701,14.532859
"003NA183","AGEROLA","BOVINI",8,4,1,4,3,4,24,31,"30/11/2020","Agerola",40.645481,14.539822
"003NA194","AGEROLA","BOVINI",0,0,0,0,1,0,1,3,"30/11/2020","Agerola",40.6349,14.5471
"003NA198","AGEROLA","BOVINI",1,0,0,3,1,1,6,6,"30/11/2020","Agerola",40.628976,14.569806
"003NA203","AGEROLA","BOVINI",3,4,2,3,7,7,26,27,"30/11/2020","Agerola",40.639485,14.537166
"003NA207","AGEROLA","BOVINI",1,3,1,3,3,1,12,12,"30/11/2020","Agerola",40.63811,14.53506
"003NA228","AGEROLA","BOVINI",1,3,0,1,1,2,8,10,"30/11/2020","Agerola",40.643001,14.534093
"003NA234","AGEROLA","BOVINI",3,2,4,3,3,4,19,25,"30/11/2020","Agerola",40.6246,14.5439
"003NA237","AGEROLA","BOVINI",0,0,0,1,0,0,1,1,"30/11/2020","Agerola",40.628007,14.521238
"003NA238","AGEROLA","BOVINI",5,1,2,7,3,4,22,23,"30/11/2020","Agerola",40.638485,14.558902
"003NA244","AGEROLA","BOVINI",0,0,0,0,0,1,1,1,"30/11/2020","Agerola",40.638698,14.559506
"003NA247","AGEROLA","BOVINI",1,0,0,0,0,0,1,3,"30/11/2020","Agerola",40.634976,14.549126
"003NA280","AGEROLA","BOVINI",0,0,0,1,0,1,2,4,"30/11/2020","Agerola",40.629,14.533
"003NA283","AGEROLA","BOVINI",1,3,4,3,4,3,18,20,"30/11/2020","Agerola",40.627328,14.535647
"003NA294","AGEROLA","BOVINI",0,0,3,2,4,4,13,13,"30/11/2020","Agerola",40.641786,14.534994
"003NA295","AGEROLA","BOVINI",4,4,3,4,4,1,20,23,"30/11/2020","Agerola",40.625337,14.570628
"003NA310","AGEROLA","BOVINI",2,1,0,3,1,0,7,7,"30/11/2020","Agerola",40.626505,14.5725
"003NA332","AGEROLA","BOVINI",0,1,0,6,1,0,8,10,"30/11/2020","Agerola",40.626274,14.572415
"003NA334","AGEROLA","BOVINI",1,1,1,1,1,0,5,5,"30/11/2020","Agerola",40.641686,14.554255
"003NA338","AGEROLA","BOVINI",1,4,1,0,0,0,6,6,"30/11/2020","Agerola",40.643919,14.546517
"003NA357","AGEROLA","BOVINI",10,7,4,9,3,15,48,53,"30/11/2020","Agerola",40.6339,14.5552
"003NA378","AGEROLA","BOVINI",1,4,0,1,0,0,6,6,"30/11/2020","Agerola",40.641862,14.538248
"003NA443","AGEROLA","BOVINI",1,0,0,0,0,0,1,2,"30/11/2020","Agerola",40.634495,14.536899
"024NA035","CASTELLAMMARE DI STABIA","BOVINI",4,3,3,1,3,4,18,20,"30/11/2020","Castellammare Di Stabia",40.683603,14.494556
"035NA050","GRAGNANO","BOVINI",2,3,0,5,1,2,13,18,"30/11/2020","Gragnano",40.692517,14.506493
"035NA052","GRAGNANO","BOVINI",0,1,3,1,3,0,8,13,"30/11/2020","Gragnano",40.699073,14.521058
"039NA014","LETTERE","BOVINI",2,1,6,7,20,28,64,65,"30/11/2020","Lettere",40.716199,14.545422
"044NA003","MASSA LUBRENSE","BOVINI",1,0,0,1,0,0,2,2,"30/11/2020","Massa Lubrense",40.593265,14.340994
"044NA007","MASSA LUBRENSE","BOVINI",5,6,4,9,12,7,43,47,"30/11/2020","Massa Lubrense",40.59829,14.34408
"044NA015","MASSA LUBRENSE","BOVINI",0,0,0,0,0,1,1,1,"30/11/2020","Massa Lubrense",40.599882,14.372849
"044NA032","MASSA LUBRENSE","BOVINI",1,1,0,1,1,0,4,5,"30/11/2020","Massa Lubrense",40.60787,14.36523
"044NA045","MASSA LUBRENSE","BOVINI",1,0,0,0,0,1,2,3,"30/11/2020","Massa Lubrense",40.593888,14.35824
"044NA067","MASSA LUBRENSE","BOVINI",1,0,1,0,0,0,2,2,"30/11/2020","Massa Lubrense",40.593087,14.363141
"044NA092","MASSA LUBRENSE","BOVINI",0,0,0,1,0,0,1,3,"30/11/2020","Massa Lubrense",40.585109,14.359387
"044NA146","MASSA LUBRENSE","BOVINI",2,0,0,0,2,0,4,4,"30/11/2020","Massa Lubrense",40.593749,14.35756
"044NA172","MASSA LUBRENSE","BOVINI",0,2,1,3,1,1,8,9,"30/11/2020","Massa Lubrense",40.61535,14.349678
"044NA173","MASSA LUBRENSE","BOVINI",1,0,1,2,0,1,5,5,"30/11/2020","Massa Lubrense",40.599247,14.348205
"044NA223","MASSA LUBRENSE","BOVINI",1,1,1,0,0,1,4,6,"30/11/2020","Massa Lubrense",40.59378,14.357831
"044NA251","MASSA LUBRENSE","BOVINI",3,0,0,0,0,0,3,4,"30/11/2020","Massa Lubrense",40.605833,14.36
"044NA533","MASSA LUBRENSE","BOVINI",0,1,0,0,0,0,1,2,"30/11/2020","Massa Lubrense",40.61019,14.34778
"044NA619","MASSA LUBRENSE","BOVINI",2,1,1,1,0,1,6,7,"30/11/2020","Massa Lubrense",40.59357,14.359694
"053NA004","PIANO DI SORRENTO","BOVINI",0,0,0,0,3,1,4,5,"30/11/2020","Piano Di Sorrento",40.62664,14.40972
"053NA006","PIANO DI SORRENTO","BOVINI",7,7,5,6,3,2,30,30,"30/11/2020","Piano Di Sorrento",40.62316,14.41245
"053NA016","PIANO DI SORRENTO","BOVINI",2,1,1,4,1,0,9,13,"30/11/2020","Piano Di Sorrento",40.62181,14.41157
"053NA025","PIANO DI SORRENTO","BOVINI",12,17,8,13,12,6,68,70,"30/11/2020","Piano Di Sorrento",40.616933,14.433633
"053NA032","PIANO DI SORRENTO","BOVINI",4,4,3,0,2,0,13,19,"30/11/2020","Piano Di Sorrento",40.6223,14.41756
"053NA050","PIANO DI SORRENTO","BOVINI",0,0,0,1,0,0,1,5,"30/11/2020","Piano Di Sorrento",40.62184,14.41513
"053NA053","PIANO DI SORRENTO","BOVINI",0,0,0,0,0,0,0,7,"30/11/2020","Piano Di Sorrento",40.61574,14.43127
"053NA057","PIANO DI SORRENTO","BOVINI",0,2,0,3,4,2,11,14,"30/11/2020","Piano Di Sorrento",40.62427,14.41695
"053NA074","PIANO DI SORRENTO","BOVINI",1,1,0,0,0,0,2,2,"30/11/2020","Piano Di Sorrento",40.62051,14.41328
"054NA009","PIMONTE","BOVINI",2,0,0,4,3,1,10,12,"30/11/2020","Pimonte",40.665587,14.525433
"054NA010","PIMONTE","BOVINI",0,0,0,0,0,0,0,0,"30/11/2020","Pimonte",40.675208,14.51176
"054NA018","PIMONTE","BOVINI",1,0,1,0,3,0,5,10,"30/11/2020","Pimonte",40.676682,14.510473
"054NA057","PIMONTE","BOVINI",0,0,0,0,0,0,0,6,"30/11/2020","Pimonte",40.67523,14.516294
"054NA069","PIMONTE","BOVINI",3,1,0,0,1,1,6,8,"30/11/2020","Pimonte",40.675886,14.513497
"054NA195","PIMONTE","BOVINI",3,2,3,3,3,1,15,18,"30/11/2020","Pimonte",40.667647,14.520233
"058NA039","POMPEI","BOVINI",8,3,6,5,3,4,29,37,"30/11/2020","Pompei",40.753357,14.50118
"058NA139","POMPEI","BOVINI",1,1,0,0,0,0,2,2,"30/11/2020","Pompei",40.735172,14.50058
"058NA143","POMPEI","BOVINI",5,1,0,3,4,2,15,18,"30/11/2020","Pompei",40.75306,14.501307
"058NA151","POMPEI","BOVINI",4,2,2,0,1,0,9,10,"30/11/2020","Pompei",40.7313,14.495
"058NA205","POMPEI","BOVINI",1,1,0,1,0,0,3,4,"30/11/2020","Pompei",40.736805,14.489766
"071NA001","SANT'AGNELLO","BOVINI",2,6,6,11,12,5,42,57,"30/11/2020","Sant'Agnello",40.61998,14.40943
"071NA004","SANT'AGNELLO","BOVINI",1,1,2,0,1,0,5,8,"30/11/2020","Sant'Agnello",40.6124,14.40835
"071NA008","SANT'AGNELLO","BOVINI",0,3,0,2,1,0,6,7,"30/11/2020","Sant'Agnello",40.6167,14.40623
