AZIENDA_COMUNE,CodiceAzienda,SPECIE,FEMMINE_BOV_0_12MESI,FEMMINE_BOV_12_24MESI,FEMMINE_BOV_24_36MESI,FEMMINE_BOV_3_5ANNI,FEMMINE_BOV_5_8ANNI,FEMMINE_BOV_OLTRE_8ANNI,TOT_BOV_FEMMINE,TOT_CAPI,DATA_RIFERIMENTO
CASTELLAMMARE DI STABIA,024NA035,BOVINI,4,3,3,1,3,4,18,20,30/11/2020
POMPEI,058NA039,BOVINI,8,3,6,5,3,4,29,37,30/11/2020
POMPEI,058NA139,BOVINI,1,1,0,0,0,0,2,2,30/11/2020
POMPEI,058NA143,BOVINI,5,1,0,3,4,2,15,18,30/11/2020
POMPEI,058NA151,BOVINI,4,2,2,0,1,0,9,10,30/11/2020
POMPEI,058NA205,BOVINI,1,1,0,1,0,0,3,4,30/11/2020
SANT'ANTONIO ABATE,074NA017,BOVINI,7,16,4,9,11,5,52,54,30/11/2020
SANTA MARIA LA CARITA',090NA024,BOVINI,7,6,4,12,12,8,49,50,30/11/2020
AGEROLA,003NA001,BOVINI,0,1,2,1,1,1,6,6,30/11/2020
AGEROLA,003NA010,BOVINI,6,6,11,12,10,3,48,53,30/11/2020
AGEROLA,003NA043,BOVINI,0,0,0,0,2,0,2,5,30/11/2020
AGEROLA,003NA093,BOVINI,7,4,4,6,3,7,31,40,30/11/2020
AGEROLA,003NA097,BOVINI,0,1,0,0,1,0,2,3,30/11/2020
AGEROLA,003NA138,BOVINI,0,3,0,8,5,2,18,18,30/11/2020
AGEROLA,003NA141,BOVINI,1,0,0,2,0,0,3,3,30/11/2020
AGEROLA,003NA182,BOVINI,5,2,2,5,2,4,20,23,30/11/2020
AGEROLA,003NA183,BOVINI,8,4,1,4,3,4,24,31,30/11/2020
AGEROLA,003NA194,BOVINI,0,0,0,0,1,0,1,3,30/11/2020
AGEROLA,003NA198,BOVINI,1,0,0,3,1,1,6,6,30/11/2020
AGEROLA,003NA203,BOVINI,3,4,2,3,7,7,26,27,30/11/2020
AGEROLA,003NA207,BOVINI,1,3,1,3,3,1,12,12,30/11/2020
AGEROLA,003NA228,BOVINI,1,3,0,1,1,2,8,10,30/11/2020
AGEROLA,003NA234,BOVINI,3,2,4,3,3,4,19,25,30/11/2020
AGEROLA,003NA237,BOVINI,0,0,0,1,0,0,1,1,30/11/2020
AGEROLA,003NA238,BOVINI,5,1,2,7,3,4,22,23,30/11/2020
AGEROLA,003NA244,BOVINI,0,0,0,0,0,1,1,1,30/11/2020
AGEROLA,003NA247,BOVINI,1,0,0,0,0,0,1,3,30/11/2020
AGEROLA,003NA280,BOVINI,0,0,0,1,0,1,2,4,30/11/2020
AGEROLA,003NA283,BOVINI,1,3,4,3,4,3,18,20,30/11/2020
AGEROLA,003NA294,BOVINI,0,0,3,2,4,4,13,13,30/11/2020
AGEROLA,003NA295,BOVINI,4,4,3,4,4,1,20,23,30/11/2020
AGEROLA,003NA310,BOVINI,2,1,0,3,1,0,7,7,30/11/2020
AGEROLA,003NA332,BOVINI,0,1,0,6,1,0,8,10,30/11/2020
AGEROLA,003NA334,BOVINI,1,1,1,1,1,0,5,5,30/11/2020
AGEROLA,003NA338,BOVINI,1,4,1,0,0,0,6,6,30/11/2020
AGEROLA,003NA357,BOVINI,10,7,4,9,3,15,48,53,30/11/2020
AGEROLA,003NA378,BOVINI,1,4,0,1,0,0,6,6,30/11/2020
AGEROLA,003NA443,BOVINI,1,0,0,0,0,0,1,2,30/11/2020
GRAGNANO,035NA050,BOVINI,2,3,0,5,1,2,13,18,30/11/2020
GRAGNANO,035NA052,BOVINI,0,1,3,1,3,0,8,13,30/11/2020
LETTERE,039NA014,BOVINI,2,1,6,7,20,28,64,65,30/11/2020
PIMONTE,054NA009,BOVINI,2,0,0,4,3,1,10,12,30/11/2020
PIMONTE,054NA010,BOVINI,0,0,0,0,0,0,0,0,30/11/2020
PIMONTE,054NA018,BOVINI,1,0,1,0,3,0,5,10,30/11/2020
PIMONTE,054NA057,BOVINI,0,0,0,0,0,0,0,6,30/11/2020
