COMUNE,CodiceAzienda,LATITUDINE,LONGITUDINE
Castellammare Di Stabia,024NA035,40.683603,14.494556
Castellammare Di Stabia,024NA001,40.713041,14.489091
Castellammare Di Stabia,024NA090,40.718472,14.493281
Castellammare Di Stabia,024NA012,40.716467,14.492405
Castellammare Di Stabia,024NA188,40.703625,14.500416
Castellammare Di Stabia,024NA359,,
Castellammare Di Stabia,024NA394,40.715256,14.486543
Castellammare Di Stabia,024NA174,40.695786,14.482843
Castellammare Di Stabia,024NA005,40.715205,14.486756
Castellammare Di Stabia,024NA184,40.688335,14.494983
Castellammare Di Stabia,024NA390,40.726428,14.478614
Castellammare Di Stabia,024NA377,40.680296,14.495988
Castellammare Di Stabia,024NA392,40.686,14.46467
Castellammare Di Stabia,024NA329,40.71536,14.490962
Castellammare Di Stabia,024NA008,40.686454,14.496707
Castellammare Di Stabia,024NA398,40.726099,14.485967
Castellammare Di Stabia,024NA431,40.686985,14.477815
Castellammare Di Stabia,024NA442,40.68599,14.496302
Castellammare Di Stabia,024NA176,40.723239,14.478066
Castellammare Di Stabia,024NA178,40.703566,14.499174
Castellammare Di Stabia,024NA167,40.723869,14.47791
Castellammare Di Stabia,024NA430,40.689406,14.498525
Castellammare Di Stabia,024NA250,40.689999,14.492797
Castellammare Di Stabia,024NA382,40.685873,14.464174
Castellammare Di Stabia,024NA052,40.69038,14.494732
Castellammare Di Stabia,024NA041,40.67823,14.476719
Castellammare Di Stabia,024NA036,40.695318,14.496047
Castellammare Di Stabia,024NA172,40.697148,14.495247
Castellammare Di Stabia,024NA441,40.689567,14.484574
Castellammare Di Stabia,024NA064,40.685389,14.463506
Castellammare Di Stabia,024NA203,40.688671,14.491796
Santa Maria La Carita',090NA037,40.7113,14.5178
Santa Maria La Carita',090NA019,40.7178,14.5108
Sant'Antonio Abate,074NA019,40.73,14.5593
Sant'Antonio Abate,074NA010,40.7224,14.5588
Pompei,058NA151,40.7313,14.495
Pompei,058NA276,40.7628,14.4853
Santa Maria La Carita',090NA003,40.7284,14.5139
Santa Maria La Carita',090NA052,40.7163,14.5157
Pompei,058NA225,40.736427,14.493837
Sant'Antonio Abate,074NA081,40.720545,14.534852
Pompei,058NA161,40.746157,14.498934
Sant'Antonio Abate,074NA043,40.707498,14.529597
Sant'Antonio Abate,074NA029,40.717773,14.532755
Santa Maria La Carita',090NA024,40.71947,14.50866
Santa Maria La Carita',090NA001,40.72445,14.512615
Pompei,058NA205,40.736805,14.489766
Pompei,058NA143,40.75306,14.501307
Sant'Antonio Abate,074NA040,40.71463,14.540251
Sant'Antonio Abate,074NA017,40.714417,14.534095
Pompei,058NA132,40.754521,14.495517
Sant'Antonio Abate,074NA098,40.72189,14.543231
Sant'Antonio Abate,074NA130,40.722746,14.544308
Santa Maria La Carita',090NA172,40.71611,14.50984
Sant'Antonio Abate,074NA183,40.716002,14.523841
Pompei,058NA338,40.730779,14.505657
Sant'Antonio Abate,074NA359,40.722964,14.555202
Santa Maria La Carita',090NA203,40.724898,14.506214
Santa Maria La Carita',090NA017,40.7184,14.5075
Sant'Antonio Abate,074NA360,40.725786,14.551436
Sant'Antonio Abate,074NA136,40.72189,14.54323
Santa Maria La Carita',090NA125,40.708193,14.501413
Sant'Antonio Abate,074NA246,40.722716,14.556824
Sant'Antonio Abate,074NA188,40.727784,14.551428
Sant'Antonio Abate,074NA168,40.719105,14.532547
Sant'Antonio Abate,074NA138,40.725769,14.536288
Sant'Antonio Abate,074NA243,40.730009,14.540356
Pompei,058NA231,40.7585,14.4799
Pompei,058NA244,40.759825,14.499349
Santa Maria La Carita',090NA050,40.71822,14.510184
Sant'Antonio Abate,074NA261,40.724135,14.534037
Sant'Antonio Abate,074NA020,40.715493,14.52562
Sant'Antonio Abate,074NA281,40.721105,14.560381
Pompei,058NA232,40.758059,14.508659
Sant'Antonio Abate,074NA352,40.720855,14.538572
Sant'Antonio Abate,074NA343,40.728603,14.539064
Pompei,058NA280,40.764297,14.496587
Sant'Antonio Abate,074NA267,40.70961,14.519987
Pompei,058NA370,40.760873,14.507885
Pompei,058NA325,40.765816,14.492392
Pompei,058NA381,40.746157,14.498934
Sant'Antonio Abate,074NA107,40.721498,14.550853
Sant'Antonio Abate,074NA102,40.730393,14.541785
Sant'Antonio Abate,074NA357,40.722416,14.534374
Pompei,058NA353,40.77,14.50265
Sant'Antonio Abate,074NA344,40.721,14.532
Sant'Antonio Abate,074NA184,40.71608,14.52121
Sant'Antonio Abate,074NA300,40.721487,14.523278
Sant'Antonio Abate,074NA176,40.712735,14.524856
Pompei,058NA408,40.76292,14.50337
Sant'Antonio Abate,074NA137,40.722964,14.555202
Sant'Antonio Abate,074NA340,40.711692,14.525005
Santa Maria La Carita',090NA107,40.725041,14.510908
Sant'Antonio Abate,074NA095,40.7135,14.5295
Santa Maria La Carita',090NA167,40.725403,14.512915
Sant'Antonio Abate,074NA312,40.719594,14.538014
Sant'Antonio Abate,074NA311,40.719594,14.538014
Sant'Antonio Abate,074NA209,40.724112,14.552182
Sant'Antonio Abate,074NA285,40.714642,14.540246
Pompei,058NA157,40.754909,14.47788
Sant'Antonio Abate,074NA151,40.712149,14.52482
Sant'Antonio Abate,074NA189,40.724135,14.534037
Pompei,058NA362,40.756932,14.494821
Pompei,058NA367,40.7389,14.49912
Sant'Antonio Abate,074NA325,40.715423,14.529295
